stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.727592,,-71.44334,59035,,,,JEFFERSON BLVD AT TRAIN STATION,0,
41.751686,,-71.417281,8765,,,,POST AT 901 POST RD,0,
41.516108,,-71.312361,2060,,,,MAPLE AT HEAD START CENTER,0,
41.467638,,-71.512128,685,,,,KINGSTOWN OPP GREENWOOD,0,
41.897823,,-71.355195,72125,,,,S ATTLEBORO TRAIN STATION,0,
41.496757,,-71.367143,1575,,,,E SHORE RD FS KNOWLES,0,
41.81787,,-71.44444,14920,,,,MANTON NS DELAINE,0,
41.809932,,-71.407147,13835,,,,EDDY NS BLACKSTONE,0,
41.473046,,-71.300161,875,,,,OCHRE POINT AT LEROY,0,
41.810248,,-71.407272,13830,,,,EDDY NS BLACKSTONE,0,
41.746637,,-71.316552,8385,,,,COUNTY FS LINCOLN,0,
41.484315,,-71.529311,1225,,,,URI STUDENT UNION,0,
41.747596,,-71.424225,8380,,,,POST BETWEEN WELFARE & MAJESTIC,0,
41.801288,,-71.426555,12830,,,,ELMWOOD FS POTTERS,0,
41.801474,,-71.40633,12835,,,,EDDY FS WYATT,0,
41.849216,,-71.478866,19785,,,,WOONASQUATUCKET AT 442 WOONASQUATUCKET,0,
41.74857,,-71.391115,8545,,,,NARRAGANSETT PKWAY NS HOWIE,0,
41.887832,,-71.354455,23610,,,,CENTRAL NS NEWPORT,0,
41.819912,,-71.369337,15280,,,,TAUNTON OPP RUSSELL,0,
41.738247,,-71.305868,8010,,,,COUNTY AT 230 COUNTY RD,0,
41.907594,,-71.666637,24410,,,,PUTNAM PIKE AT CVS PHARMACY,0,
41.730179,,-71.395608,7455,,,,WEST SHORE AT 325 WEST SHORE,0,
41.90412,,-71.392181,24415,,,,BROAD NS MAPLE,0,
41.729318,,-71.406021,7450,,,,WARWICK FS DIXIE,0,
41.715493,,-71.383616,6575,,,,CHURCH OPP NASH,0,
41.996925,,-71.521705,25695,,,,S MAIN FS BUXTON,0,
41.681696,,-71.260868,4380,,,,METACOM OPP ACADEMY,0,
41.68631,,-71.498619,4590,,,,COWESSETT CORNERS STOP & SHOP,0,
41.681041,,-71.571584,4385,,,,S MAIN OPP IAN,0,
41.703748,,-71.280157,5620,,,,HOPE NS SULLIVAN LANE,0,
41.866668,,-71.376619,29615,,,,SCHOOL AT RIVERVIEW TERRACE,0,
41.491534,,-71.312414,1370,,,,MARLBOROUGH FS BROADWAY,0,
41.441449,,-71.489655,405,,,,MAIN NS HOLLEY,0,
41.732704,,-71.441609,7690,,,,JEFFERSON BLVD AT 555 JEFFERSON BLVD,0,
